"noisy_exponential-20","noisy_exponential-40","noisy_gaussian-0.4","noisy_gaussian-0.8","noisy_rayleigh-20","noisy_rayleigh-40","noisy_speckle-0.4","noisy_speckle-0.8","noisy_uniform-20","noisy_uniform-40","blurred_maskSize-3","blurred_maskSize-5","blurred_maskSize-7","blurred_maskSize-9","blurred_maskSize-11","blurred_maskSize-15","blurred_maskSize-19","blurred_maskSize-25","blurred_maskSize-31","blurred_maskSize-41","compressed_10","compressed_20","compressed_25","compressed_30","compressed_40","compressed_45","compressed_50","compressed_60","compressed_70","compressed_80"
"badany1_0","3","1","3","2","4","3","4","1","5","4","5","3","3","3","2","2","1","1","1","1","2","3","3","3","4","5","5","4","4","4"
"badany2_0","3","3","4","2","4","3","4","3","5","5","5","4","4","4","3","3","3","3","2","2","3","4","5","5","5","5","5","5","5","5"
"badany3_0","4","3","4","2","5","3","5","3","5","5","5","4","4","2","3","1","2","1","1","1","1","4","5","5","5","5","5","5","5","5"
"badany4_0","3","2","3","1","4","2","3","1","5","4","5","4","3","3","2","2","2","2","1","1","2","3","4","4","4","5","5","4","5","5"
"badany5_0","2","1","3","1","2","1","3","1","5","2","5","5","4","4","3","3","2","1","2","1","1","2","3","2","4","4","3","5","5","4"
"badany6_0","3","2","3","1","4","2","3","2","4","4","5","4","4","3","3","2","2","2","1","1","2","3","3","4","5","4","4","4","5","4"
"badany7_0","2","1","2","1","3","1","2","1","4","2","4","3","2","2","2","1","1","1","1","1","2","2","2","3","3","4","3","3","5","5"
"badany8_0","2","1","3","1","2","2","3","1","4","3","3","3","3","2","2","2","1","1","1","1","1","2","2","3","4","5","3","3","3","4"
"badany9_0","3","3","4","2","4","2","4","2","5","4","4","3","3","1","1","1","2","1","1","1","2","3","5","5","5","5","5","5","5","4"
"badany10_0","3","2","4","1","3","2","2","1","5","4","5","3","3","3","2","2","2","1","1","1","1","2","4","4","4","4","5","3","4","5"
"badany11_0","2","2","2","1","3","2","3","1","4","3","5","4","3","3","3","2","2","2","2","2","2","3","4","4","3","3","3","5","3","5"
"badany12_0","5","1","5","3","5","4","4","1","5","5","4","4","3","3","3","2","2","1","1","1","1","3","2","3","3","4","5","5","5","3"
"badany13_0","3","2","2","2","3","2","3","2","4","3","4","4","4","3","3","2","2","2","1","1","3","5","5","5","5","5","4","5","5","4"
"badany14_0","3","2","3","1","3","2","4","1","5","5","4","3","3","3","2","2","2","1","1","1","1","3","3","3","4","4","5","5","4","4"
"badany15_0","3","2","5","2","4","2","5","1","5","4","5","5","4","3","2","1","1","1","1","1","1","3","4","5","5","5","5","5","5","5"
"badany16_0","2","1","3","2","4","2","2","1","5","5","5","4","4","2","3","3","2","1","1","1","1","2","3","4","4","4","5","5","5","5"